,participant,original_text,text,label
73,1," I would like to know about your subscriptions, because one project found useful for me.",would like to know about your subscription because one project find useful for I,want_project_level
74,2, please provide your student email to avail the student discounted price,please provide your student email to avail the student discount price,like_project_month
75,2, 12 months access is for 1080$,month access be for,access_access_month
76,2, and we have  dicscounted price for students,and we have dicscounte price for student,discount_price_student
77,1," Ok, but I need one project only from your website, can I buy one only ?",ok but need one project only from your website can buy one only,like_project_month
78,2, no,no,nope_affiliate_universit
79,2, we dont have that option,we do not have that option,provide_trial_platform_demo
80,1," can you speak with your senior team, Im a student and dont have enough money to buy your whole year subscription pls?",can you speak with your senior team student and do not have enough money to buy your whole year subscription pls,pay_subscription_month
82,2, so no point in talking to anybody,so no point in talk to anybody,like_project_month
83,1, how much in INR ?,how much in inr,like_project_month
84,2," You may check out the enrolment details, FAQ and benefits here here - https://www.projectpro.io/enterprise/enroll",you may check out the enrolment detail faq and benefit here here,check_faq_enrolment_detail
85,2, please provide your college email id,please provide your college email,send_email_team
86,2, to avail the student discounted price,to avail the student discount price,discount_price_student
87,2, 12 months in INR is 72000/-,month in inr be,pay_subscription_month
88,2, 48000/- for 12 months access,for month access,like_access_month
89,1, any discount for indian students?,any discount for indian student,discount_price_student
90,2, 48000/- is student discounted price for indian students.,be student discount price for indian student,discount_price_student
91,1, or can you give me one month subscription ?,or can you give I one month subscription,pay_subscription_month
92,1, pleaseeee..,pleaseeee,reply_help_mam
93,2, we dont ahve one month subscription,we do not ahve one month subscription,provide_plan_month_payment
94,2, only 12 months access,only month access,access_access_month
95,1, do you have 6 months ?,do you have month,pay_subscription_month
96,2, yes,yes,yes
97,2, no disocunts,no disocunt,nope_affiliate_universit
98,1, studnet disc ?,studnet disc,okk_studnet
99,1, no?,no,nope_affiliate_universit
101,2, see i can add my employee discount if you are enrolling now,see can add my employee discount if you be enrol now,add_discount_employee
102,1, how much /,how much,like_project_month
103,2, post my employee discount it will be 44000/-,post my employee discount it will be,add_discount_employee
104,1, could you please make it to 40k ? any emi ?,could you please make it to any emi,pay_card_emi_cost
105,2, do you have an indian credit card,do you have an indian credit card,use_card_credit
106,2, Indian,indian,base_office_indian_bangalore
108,1, Im from kerala,from kerala,base_office_indian_bangalore
109,2, Good to know,good to know,great
110,2, i can provide you 12 no cost EMI,can provide you no cost emi,pay_card_emi_cost
111,2, let me check,let I check,let_link_way_level
113,2, if you enroll now,if you enroll now,enroll_projectpro_today_process
114,2, i can provide you,can provide you,arrange_conversation_level_team
115,1, can you send a quote to my email ?,can you send quote to my email,send_email_team
117,1, I'll come back within a hour,ill come back within hour,like_project_month
118,2, your service will be activated on your college email,your service will be activate on your college email,send_email_team
119,2, 90 days refund policy not applicable,day refund policy not applicable,refund_refund_day
120,1," ok, thats fine",ok that fine,ok_laptop_fine_thank
121,2, Raji will drop an email to you with the details,raji will drop an email to you with the detail,send_email_team
122,1, thanks dear,thank dear,thank_dear_pdf
123,1, I'm paying 40k only for one project Anjali,pay only for one project anjali,want_project_level
124,2, you can use multiple projects to build your portfolio,you can use multiple project to build your portfolio,like_project_month
125,2, to get a good hands on experience,to get good hand on experience,like_project_month
126,2, use the unlimited  expert sessions to clarify your queries,use the unlimited expert session to clarify your query,like_project_month
128,2, please provide your contact number,please provide your contact number,provide_number_contact
129,1, can you please forward that quote to  ?,can you please forward that quote to,share_link_thse
130,2, will ask,will ask,arrange_conversation_level_team
131,2, they have shared,they have share,like_project_month
132,2, confirm so that we can send the payment link,confirm so that we can send the payment link,pay_link_payment_time
136,1, can i get real agent?,can get real agent,like_project_month
138,1, hi,hi,hi_day
139,1, were you from?,be you from,enrol_course_student
140,1, *where,where,enroll_projectpro_today_process
142,1, no i just want to know from where in the website you can help me .,no just want to know from where in the website you can help I,like_project_month
143,2, Its a global platform,its global platform,walk_insight_platform_project
144,1, what dose it mean?,what dose it mean,enroll_projectpro_today_process
145,1, ok i get it. i had question on specific subject... so you can help me with general issues - right?,ok get it have question on specific subject so you can help I with general issue right,like_project_month
146,1, you here?,you here,like_project_month
148,2, what is your question,what be your question,like_project_month
149,1, its on a specific forum...,its on specific forum,like_project_month
150,1, i guess your not the address,guess your not the address,click_address_email_password
151,1, correct?,correct,like_project_month
152,1, (so long until i get replay),so long until get replay,like_project_month
153,1, hello?,hello,hello
154,1, can you please be with me now?\=,can you please be with I now,schedule_session_pm_today
155,2, are you enrolled with us,be you enrol with we,enrol_course_student
157,1, just a regular user,just regular user,like_kathamndu_shot
158,1, but am i correct ?,but be correct,like_project_month
159,2, we have a tech team who helps our  enrolled clients,we have tech team who help our enrol client,send_email_team
161,1, ok i have more question for you,ok have more question for you,like_project_month
162,1, please,please,reply_help_mam
163,1, can i?,can,arrange_conversation_level_team
164,1, can you please be with me and answer quikly?,can you please be with I and answer quikly,like_project_month
165,1, poor service ....SORY!,poor service sory,like_project_month
171,1, I am looking for machine learning project for submitting for my MTECH,be look for machine learning project for submit for my mtech,like_project_month
172,1, which im doing online,which do online,enroll_projectpro_today_process
174,2, we do have 240+ projects,we do have project,add_project_month
175,2, Regarding the projects:,regard the project,regard_project
176,2, Each of the projects have the following -,each of the project have the following,following_project_monnth
177,2, would you like to have a demo,would you like to have demo,like_demo_enrollment
180,1, Name:,name,anjali_vishnani_amarendar_fazila
181,1, Email-,email,send_email_team
182,2, when would you like to have the demo,when would you like to have the demo,like_project_month
183,1, today i need to submit the project title,today need to submit the project title,add_project_month
184,1, is there a way i can get this quickly,be there way can get this quickly,like_project_month
186,1, what will be the price to get everything on a project?,what will be the price to get everything on project,want_project_level
187,2, are you available in next 30 minutes,be you available in next minute,like_project_month
190,2, you will get a gmeet session,you will get gmeet session,session_session_gmeet
191,2, invite,invite,send_invite_team_calendar
192,1, from,from,like_kathamndu_shot
194,1, what will be price to get the project?,what will be price to get the project,like_project_month
196,2, students we have student discounted price,student we have student discount price,discount_price_student
197,1, ok will discuss during the call,ok will discuss during the call,arrange_conversation_level_team
199,1, so will it get a call?,so will it get call,arrange_conversation_level_team
201,1, I didnt get any meeting link,do not get any meeting link,like_project_month
202,1, can you please send the meeting link to my email id?,can you please send the meeting link to my email,send_email_team
203,2, ProjectPro Demo :,projectpro demo,demo_demo_session
204,2, please jpoin,please jpoin,reply_help_mam
205,2, join,join,like_project_month
206,2, is your email correct,be your email correct,click_address_email_password
208,2, View a list of 120+ end-to-end Machine Learning & Big Data projects here - https://www.projectpro.io/projects,view list of end to end machine learn big datum project here,learn_machine_end_view
210,1, wha tis the fee,wha tis the fee,look_price_fee
214,2, student or professional,student or professional,student_email
215,1, i am db side,be db side,enrol_course_student
216,1, i have gap of 2 yrs,have gap of yrs,like_project_month
217,1, planing on attending interviews soon,plane on attend interview soon,dig_interview_resume
219,1, on data engineering or data science,on datum engineering or datum science,look_project_data_science
221,1, debating wha tis better,debate wha tis well,like_project_month
222,1, and want to work on snowflake,and want to work on snowflake,like_project_month
223,2, we provide industrial projects end to end projects,we provide industrial project end to end project,provide_project_end_lab
224,1, do you have any on snowflake?,do you have any on snowflake,like_project_month
225,2, yes we do have snowflake projects,yes we do have snowflake project,like_project_month
226,2, Each of the 200 projects have the following -,each of the project have the following,following_project_monnth
227,2, we add 15 to 20 projects every month,we add to project every month,like_project_month
228,2," Unlimited 1-to-1 live mentoring with experts for project troubleshooting, mock interviews, resume review and career guidance.",unlimited to live mentor with expert for project troubleshoot mock interview resume review and career guidance,unlimited_mentor_expert_project
230,1, can you point me to snowflake project,can you point I to snowflake project,like_project_month
232,1, what is the fee structure,what be the fee structure,look_price_fee
233,2, 12 months access is for 960$,month access be for,access_access_month
234,1, 3 months ?,month,like_project_month
235,2, we dont have 3 months access,we do not have month access,provide_plan_month_payment
236,2, we were having few promotions,we be have few promotion,help_discount_price
237,2, i can help you with that,can help you with that,like_project_month
238,1, what isit,what isit,enroll_projectpro_today_process
240,1, sravanthi,sravanthi,okk_studnet
241,2, if you are enrolling today the discounted price is 786$,if you be enrol today the discount price be,help_discount_price
242,2, you can pay in installments also,you can pay in installment also,pay_link_payment_time
243,1, how much installment,how much installment,like_project_month
244,2, you can pay in 12 installments we have tie up with a third party they convert the amt into emi,you can pay in installment we have tie up with third party they convert the amt into emi,pay_card_emi_cost
245,2, by any chance are you an indian,by any chance be you an indian,base_office_indian_bangalore
247,2, you can pay in INR with 12 no cost emi on your indian credit card,you can pay in inr with no cost emi on your indian credit card,pay_card_emi_cost
248,1, is it indian company,be it indian company,base_office_indian_bangalore
249,2, Its a global platform registered in India,its global platform register in india,walk_insight_platform_project
250,1, how do you help with mock interviews and resume,how do you help with mock interview and resume,dig_interview_resume
252,2, we provide unlimitted one to one sessions with experts,we provide unlimitted one to one session with expert,like_project_month
253,1, how do you help with tech support,how do you help with tech support,send_email_team
254,2, we provide 3 support,we provide support,like_project_month
255,2, we have a chat support,we have chat support,like_project_month
256,2, 24/7 tech support,tech support,send_email_team
257,2, and one to one sessions with expert,and one to one session with expert,like_project_month
258,2, these sessions can be used to clarify your queries,these session can be use to clarify your query,like_project_month
259,1, all these included in the package,all these include in the package,pay_subscription_month
261,2, you dont have to pay anything extra,you do not have to pay anything extra,pay_link_payment_time
265,1," Hey, May I know what will be the cost of 1 month?",hey may know what will be the cost of month,pay_subscription_month
268,2, we do not have monthly plans ...,we do not have monthly plan,provide_plan_month_payment
269,2, Personal Annual plan : $ 1260,personal annual plan,plan_plan_year
271,1, Ohh I am a student so I was looking for something which I can afford,ohh be student so be look for something which can afford,like_project_month
272,2, but we have a collaboration with Affirm ... where you can pay monthly ..,but we have collaboration with affirm where you can pay monthly,like_project_month
276,1, yeah sure,yeah sure,sure_lot_sushma_welcome
277,2, ok Thanks,ok thank,thank
278,2, for students we have discounted pricing,for student we have discount pricing,discount_price_student
279,1, That sounds good,that sound good,ok_laptop_fine_thank
280,1, may I know how much discount I can get?,may know how much discount can get,help_discount_price
281,2, for students .. Personal Annual plan : $ 780,for student personal annual plan,plan_plan_year
282,2, diuscount of $ 520,diuscount of,like_kathamndu_shot
283,1," and can we pay it monthly? suppose for example, I have gained good knowledge and don't want to continue after 3 months then?",and can we pay it monthly suppose for example have gain good knowledge and do not want to continue after month then,pay_subscription_month
284,2, We provide an unlimited no questions asked refund - you may sign up and if you don't think we are adding value to you - you can ask for a full refund anytime,we provide an unlimited no question ask refund you may sign up and if you do not think we be add value to you you can ask for full refund anytime,like_project_month
285,2, You can cancel and we will refund anytime in the first 3 months ...,you can cancel and we will refund anytime in the first month,pay_subscription_month
286,2, for monthly payments we have a collaboration with affirm,for monthly payment we have collaboration with affirm,like_project_month
287,2, you can pay thru monthly part payments .. but it depends on your credit history ...,you can pay thru monthly part payment but it depend on your credit history,depend_score_credit_history
288,2," if you enroll now, i can get you an approval for $ 684 ..",if you enroll now can get you an approval for,like_project_month
289,2, for Personal annual plan,for personal annual plan,plan_plan_year
290,1," thats not what I mean, suppose projectpro is good and I have learned a lot from; however, after 3-4 months i don't want to continue (without the refund plan) is that possible?",that not what mean suppose projectpro be good and have learn lot from however after month do not want to continue without the refund plan be that possible,refund_refund_day
291,2, refund policy is applicable in the first 3 months,refund policy be applicable in the first month,refund_refund_day
292,2, it is not applicable after 3 months,it be not applicable after month,pay_subscription_month
293,2, cancellations applicable in fisrt 3 months,cancellation applicable in fisrt month,refund_refund_day
294,1," yeah thats ok, but I was asking what If i only want to pay for a X months? not for a full year",yeah that ok but be ask what if only want to pay for month not for full year,pay_subscription_month
295,1, is that possible?,be that possible,like_project_month
296,2, we do not have monthly plans... its annual plan ...you can pay as one time payment ... or  m monthly using affirm,we do not have monthly plan its annual plan you can pay as one time payment or monthly use affirm,provide_plan_month_payment
297,2, you can cancele in the 1st 3 months not after that,you can cancele in the st month not after that,pay_subscription_month
298,1, got it,get it,like_project_month
299,1, thanks for your help,thank for your help,thank_anjali_help_time
300,2, but the discount is offer is only valid for now,but the discount be offer be only valid for now,like_project_month
301,2, $ 684 for annula plan ... woukld y9ou like to check the monthly payment plan with affirm,for annula plan woukld you like to check the monthly payment plan with affirm,pay_subscription_month
302,1," Can you send me an email, I will think about this and will let you know",can you send I an email will think about this and will let you know,send_email_team
303,1, if its possible,if its possible,like_project_month
304,2, sure .. also,sure also,sure_lot_sushma_welcome
305,2, can you help me with your edu email address ?,can you help I with your edu email address,send_email_team
306,2, to confirm the student offer,to confirm the student offer,discount_price_student
307,1, yeah,yeah,yeah_inivte_day_term
308,2, ok thanks,ok thank,thank
309,2, I will ask my team to send you an email with the offer details and the link ... it will be valid till end of the day today ...,will ask my team to send you an email with the offer detail and the link it will be valid till end of the day today,send_email_team
310,2, request to complete the enrollment to avail the offer,request to complete the enrollment to avail the offer,like_project_month
311,1, Sure,sure,sure_lot_sushma_welcome
312,1, will think about it,will think about it,arrange_conversation_level_team
314,2, we can schedule a quick demo session for 10-15 mins . It will be on google meet and will provide you more understanding about the platform,we can schedule quick demo session for min it will be on google meet and will provide you more understanding about the platform,schedule_understanding_demo_min
319,1, i want to know more details,want to know more detail,like_project_month
320,1, how this works,how this work,enroll_projectpro_today_process
321,1, What would be the subscription amount,what would be the subscription amount,pay_subscription_month
324,1, I am working in product based company,be work in product base company,like_project_month
325,1, and learning Big data now from upgrad,and learn big datum now from upgrad,like_project_month
327,2, We bridge the gap between courses and real projects.,we bridge the gap between course and real project,like_project_month
329,2, Each of the  projects have the following -,each of the project have the following,following_project_monnth
331,1, Great,great,great
332,1, what would be the subscription charge,what would be the subscription charge,pay_subscription_month
333,2, 12 months access is for 84000/-,month access be for,access_access_month
334,2, with 12 no cost emi option,with no cost emi option,pay_card_emi_cost
336,1, Yes I need one demo,yes need one demo,demo_demo_session
337,1, on big data project,on big datum project,like_project_month
339,2, what is your convenient time for  a demo,what be your convenient time for demo,demo_demo_session
340,1, What is the duration?,what be the duration,like_project_month
341,2, 30 minutes,minute,time_time_tomorrow_pm
342,1, Anytime is fine before 5 pm,anytime be fine before pm,time_time_tomorrow_pm
344,2, tomorrow 4 pm,tomorrow pm,time_time_tomorrow_pm
345,1, Okay,okay,okay
346,2, would you like to enroll,would you like to enroll,like_project_month
347,1, is it the lowest as it's too expensive for a student like me,be it the low as its too expensive for student like I,like_project_month
348,2, provide me your college email id,provide I your college email,send_email_team
349,2, 799 is the lowest,be the low,enrol_course_student
350,2, i can add my employee disocunt and bring the price to 750,can add my employee disocunt and bring the price to,add_discount_employee
351,2, let me know if you would like to enroll,let I know if you would like to enroll,enroll_projectpro_today_process
352,1, 90 days no question refund is available,day no question refund be available,refund_refund_day
354,2, available,available,like_project_month
355,1, please share the link to me,please share the link to I,share_link_thse
356,2, the link will be valid for 15 minutes,the link will be valid for minute,like_project_month
357,1," yes, just finish the payment",yes just finish the payment,pay_link_payment_time
358,1, but how can i login ?,but how can login,enroll_projectpro_today_process
359,2, login id :: your email,login your email,click_address_email_password
360,2, password:: click on forgot password and change the password,password click on forgot password and change the password,click_address_email_password
361,1, that's funny,that funny,great
362,1, is it your design ?,be it your design,enrol_course_student
364,2, some smart guys,some smart guy,yeah_inivte_day_term
366,2, yup,yup,yeah_inivte_day_term
367,2, so when you pay you account get automatically  activated,so when you pay you account get automatically activate,pay_link_payment_time
368,2, for clients comfort we keep their email id as your login and just chanhe the password,for client comfort we keep their email as your login and just chanhe the password,click_address_email_password
369,2, simple process,simple process,like_project_month
370,1, smart,smart,like_project_month
372,1, can i ask any webscripting project ?,can ask any webscripting project,want_project_level
373,1, as i cannot find,as can not find,like_project_month
374,2, you can drop an email to care@projectpro.io,you can drop an email to careprojectproio,send_email_team
375,1, thanks just send,thank just send,like_project_month
378,1, I want to join ProjectPro,want to join projectpro,enroll_projectpro_today_process
381,1, can you share various subscription open ?,can you share various subscription open,pay_subscription_month
382,2, email please,email please,send_email_team
383,2, we have 2 subscriptions 6 months and 12 months,we have subscription month and month,like_project_month
385,1, Can you share details for both ?,can you share detail for both,share_link_thse
386,2, 6 months is for 66000/- .no tech support and you cant access the new projects  thatw e add month on month,month be for no tech support and you can not access the new project thatw add month on month,like_project_month
387,2, 12 months full access with expert mentoring for 72000/- with 12 no cost emi,month full access with expert mentor for with no cost emi,like_project_month
388,2, we have disocunts on 12 months access,we have disocunt on month access,provide_plan_month_payment
389,2, 12 months post discounts it will be 64000/-,month post discount it will be,like_project_month
390,1, can you share the link ?,can you share the link,share_link_thse
391,2, would you like to go for a single shot payment or emi,would you like to go for single shot payment or emi,like_project_month
392,1, not sure as of now,not sure as of now,like_project_month
394,1, please share link on chat,please share link on chat,like_project_month
395,2, need phone number to share the emi link,need phone number to share the emi link,pay_card_emi_cost
397,2, the first is a single shot paymnet,the first be single shot paymnet,like_project_month
398,2, second is an emi link,second be an emi link,pay_card_emi_cost
399,1, can you share link of thses plans ?,can you share link of thse plan,share_link_thse
400,1, I want to look into the details,want to look into the detail,like_project_month
401,2, on email,on email,send_email_team
402,2, yes our team will drop an email,yes our team will drop an email,send_email_team
408,1, I am  from,be from,enrol_course_student
411,1, i wanted to do Bigdata projects,want to do bigdata project,want_project_level
412,1, can you pls help me,can you pls help I,like_project_month
413,1, i am experienced oracle DBA,be experience oracle dba,like_project_month
415,2, we have 100+ big data projects,we have big datum project,add_project_month
417,2, and we add around 10 projects every month,and we add around project every month,add_project_month
418,2, total we have 230+ projects which is a combination of datascience and bigdata,total we have project which be combination of datascience and bigdata,add_project_month
420,2, Each of the 200+ projects have the following -,each of the project have the following,following_project_monnth
423,1, no problem .. what will be the fee,no problem what will be the fee,look_price_fee
424,1, and duration,and duration,like_project_month
425,2, 12 months access  is for 72000/-,month access be for,access_access_month
427,1, do you have monthly payment option,do you have monthly payment option,pay_subscription_month
429,2, we do have,we do have,provide_trial_platform_demo
430,1, can i pay for a month and start my learning,can pay for month and start my learning,pay_subscription_month
431,1, also do you have any discounts,also do you have any discount,help_discount_price
432,2, yes w edo have discounts,yes edo have discount,help_discount_price
434,1, Name:-,name,anjali_vishnani_amarendar_fazila
435,1, Email:-,email,send_email_team
436,2, 12 months access is for 72000/-,month access be for,access_access_month
437,2, discounted price is 64000/- with 12 no cost emi,discount price be with no cost emi,like_project_month
438,2, we will be converting the total amt into emi which gets auto debited month on month,we will be convert the total amt into emi which get auto debit month on month,pay_card_emi_cost
439,2, would you like to have a call before you enroll,would you like to have call before you enroll,like_project_month
440,1, No problem,no problem,like_project_month
441,1, let me decide and come to you,let I decide and come to you,like_project_month
443,2, our team will drop an email,our team will drop an email,send_email_team
444,1, yeah sure thanks a lot,yeah sure thank lot,sure_lot_sushma_welcome
447,1, can i buy account just for one month?,can buy account just for one month,pay_subscription_month
448,2, we dont have 1 month subscription,we do not have month subscription,provide_plan_month_payment
449,2, its 12 months access,its month access,access_access_month
450,1, it's very expensive for me,its very expensive for I,look_price_fee
451,2, what is the pricing that you are looking for,what be the pricing that you be look for,look_price_fee
452,2, you can pay monthly,you can pay monthly,pay_subscription_month
453,1, i am a student,be student,enrol_course_student
454,1, yes i can pay monthly,yes can pay monthly,pay_subscription_month
455,2, you can pay in installments,you can pay in installment,pay_link_payment_time
456,1, is it possible?,be it possible,like_project_month
458,1, very good. how much per month?,very good how much per month,pay_subscription_month
459,2, 12 months access is 1080/-,month access be,access_access_month
460,2, post discount it will be 880/12,post discount it will be,help_discount_price
461,2, 73$ pr month and a minimal interest will be added,pr month and minimal interest will be add,pay_subscription_month
462,2, we have tie up with affirm,we have tie up with affirm,like_project_month
463,1, last offer ? :(,last offer,like_project_month
464,1," if i pay 73$ now , can i access data science projects ?",if pay now can access data science project,look_project_data_science
466,2, see i got an approval of 780$,see get an approval of,like_project_month
468,2, they will check your credit score,they will check your credit score,depend_score_credit_history
470,1, it's greet,its greet,like_kathamndu_shot
471,1, so how to pay?,so how to pay,like_project_month
472,2, you can use the above link to make the payment,you can use the above link to make the payment,pay_link_payment_time
473,1, how long is this link valid?,how long be this link valid,like_project_month
474,2, for next 3 hours,for next hour,time_time_tomorrow_pm
475,1," this link is 789$ , how to pay first 73 $ ?",this link be how to pay first,look_price_fee
476,2, once you make the payment i will  cash back 10$  to your card,once you make the payment will cash back to your card,use_card_credit
477,2, our team will drop an email on the same,our team will drop an email on the same,send_email_team
478,2, 780$ was on offer which is no logger available,be on offer which be no logger available,like_project_month
479,2, since you had a financial crunch got that approval,since you have financial crunch get that approval,pay_link_payment_time
480,2, one quick question,one quick question,reply_help_mam
481,2, where are you based out,where be you base out,like_project_month
482,2, this emi link will work for US citizen,this emi link will work for we citizen,pay_card_emi_cost
483,2, and your current location is showing as US,and your current location be show as we,let_time_conveninet_location
484,1, i use vpn,use vpn,like_project_month
485,1, i'am in iran,iam in iran,anjali_vishnani_amarendar_fazila
486,2, hey this link will not help you,hey this link will not help you,like_project_month
487,1, let me turn off my vpn,let I turn off my vpn,let_link_way_level
492,1, what is projectpro experts section?,what be projectpro expert section,enroll_projectpro_today_process
494,1, how much is it?,how much be it,like_project_month
495,2, 12 months access is for 1080$ . we have some discounts going on,month access be for we have some discount go on,like_project_month
497,1, i prefer start with end to end data science projects,prefer start with end to end datum science project,like_project_month
498,2, yes we do have,yes we do have,like_project_month
500,1," tell me about annoul price , please",tell I about annoul price please,look_price_fee
501,2, Every machine learning project of ours implements the full life cycle: Sourcing the data -> Exploratory data analysis (EDA) -> Data cleaning -> Data manipulation -> Modelling -> Hyper parameter tuning -> Testing -> Visualisation -> Deployment.,every machine learning project of ours implement the full life cycle source the datum exploratory datum analysis eda data clean datum manipulation model hyper parameter tuning testing visualisation deployment,like_project_month
504,1," yes, sure",yes sure,sure_lot_sushma_welcome
505,2, we have a 60$ cash back and additionally if you enroll now i can help you with an offer which ended where we were giving another 100$ cash back,we have cash back and additionally if you enroll now can help you with an offer which end where we be give another cash back,like_project_month
506,2, so total 160$ cash back,so total cash back,like_project_month
507,2, on the current price,on the current price,like_project_month
508,1, I was a little confused. How much is a one-year account for data science projects?,be little confused how much be one year account for datum science project,like_project_month
509,1," above , you say 1080$ . it's very expensive for me,",above you say its very expensive for I,look_price_fee
510,2, what is teh price that you are looking for,what be teh price that you be look for,look_price_fee
511,2, the*,the,like_kathamndu_shot
512,1," my monthly salary is 70$ , i am a student , how you can help me ?",my monthly salary be be student how you can help I,pay_subscription_month
513,2, can yopu provide me your collegeb email id,can yopu provide I your collegeb email,send_email_team
514,2, we have astudent discounted price,we have astudent discount price,like_project_month
515,1, my email id is not valid. because i am from iran,my email be not valid because be from iran,send_email_team
516,2, student discounted price is 684$,student discount price be,discount_price_student
517,2, we have an offer on student discounted price also,we have an offer on student discount price also,discount_price_student
518,2, if you enroll now 619$ for 12 months access,if you enroll now for month access,like_project_month
524,1, I want the prOject on data science and AI,want the project on data science and ai,look_project_data_science
526,1, with real world industry exp,with real world industry exp,like_project_month
528,2, You may find a list of our end-to-end machine learning projects here - https://www.projectpro.io/projects/data-science-projects,you may find list of our end to end machine learning project here,like_project_month
529,1, I have 7 years of exp,have year of exp,look_project_data_science
530,1, and currently learning the AI since last few years,and currently learn the ai since last few year,like_project_month
531,1, so want my resume to be built in such a way to attract top employer,so want my resume to be build in such way to attract top employer,dig_interview_resume
534,2, would you liekm to have a demo,would you liekm to have demo,like_demo_enrollment
536,1, please elaborate how would you help,please elaborate how would you help,enroll_projectpro_today_process
537,1, I have also some doubt in concept,have also some doubt in concept,like_project_month
538,2, let me arrange a call for you,let I arrange call for you,arrange_conversation_level_team
539,1, like ML and DL,like ml and dl,like_project_month
540,2, that will be better,that will be well,ok_laptop_fine_thank
541,1, It would be also great,it would be also great,ok_laptop_fine_thank
542,1, no issue please chat now,no issue please chat now,like_project_month
543,2, what information you need,what information you need,enroll_projectpro_today_process
544,1, How will I clear my doubt,how will clear my doubt,like_project_month
545,1, How to practice,how to practice,enrol_course_student
546,1, how may days of  projects,how may day of project,want_project_level
547,1, how many projects,how many project,like_project_month
549,2, we have 230+ projects,we have project,add_project_month
553,1, Is it free or paid?,be it free or pay,like_project_month
557,1, Can I add this projects on my Github repo?,can add this project on my github repo,like_project_month
