participant,original_text,text,label,label_number,type
2,Its a global platform,global platform,project_information,1,Response
1,what dose it mean?,dose mean,project_information,1,Query
1,ok i get it. i had question on specific subject... so you can help me with general issues - right?,ok get question specific subject help general issue right,project_information,1,Query
2,what is your question,question,project_information,1,Query
1,its on a specific forum...,specific forum,project_information,1,Response
1,i guess your not the address,guess address,project_information,1,Query
1,correct?,correct,agree,4,Query
1,(so long until i get replay),long get replay,project_information,1,Query
1,hello?,hello,greetings,14,Query
1,can you please be with me now?\=,please,project_information,1,Query
2,are you enrolled with us,enrol,enrollment,7,Query
1,just a regular user,regular user,project_information,1,Response
1,but am i correct ?,correct,agree,4,Query
2,we have a tech team who helps our  enrolled clients,tech team help enrol client,project_information,1,Response
1,ok i have more question for you,ok question,project_information,1,Response
1,please,please,project_information,1,Query
1,can you please be with me and answer quikly?,please answer quikly,project_information,1,Query
1,poor service ....SORY!,poor service sory,project_information,1,Response
1,I am looking for machine learning project for submitting for my MTECH,look machine learning project submit mtech,project_want,8,Query
1,which im doing online,online,client_info,6,Query
2,we do have 240+ projects,project,project_information,1,Response
1,Name:,name,client_info,6,Response
1,Email-,email,client_info,6,Response
1,today i need to submit the project title,today need submit project title,client_info,6,Query
1,is there a way i can get this quickly,way get quickly,project_information,1,Query
1,what will be the price to get everything on a project?,price get everything project,cost_discussion,2,Query
2,are you available in next 30 minutes,available next minute,trial_demo_discussion,3,Query
2,you will get a gmeet session,get gmeet session,trial_demo_discussion,3,Query
2,invite,invite,trial_demo_discussion,3,Query
1,what will be price to get the project?,price get project,cost_discussion,2,Query
2,students we have student discounted price,student student discount price,discount,5,Response
1,ok will discuss during the call,ok discuss call,trial_demo_discussion,3,Response
1,so will it get a call?,get call,trial_demo_discussion,3,Query
1,I didnt get any meeting link,get meeting link,trial_demo_discussion,3,Response
1,can you please send the meeting link to my email id?,please send meeting link email,trial_demo_discussion,3,Query
2,ProjectPro Demo :,projectpro demo,trial_demo_discussion,3,Response
2,please jpoin,please jpoin,trial_demo_discussion,3,Query
2,join,join,trial_demo_discussion,3,Query
2,is your email correct,email correct,trial_demo_discussion,3,Query
1,wha tis the fee,wha tis fee,cost_discussion,2,Query
1,i am db side,db side,client_info,6,Response
1,i have gap of 2 yrs,gap yr,client_info,6,Response
1,planing on attending interviews soon,plane attend interview soon,client_info,6,Response
1,on data engineering or data science,datum engineering datum science,client_info,6,Response
1,debating wha tis better,debate wha tis well,client_info,6,Response
1,and want to work on snowflake,want work snowflake,project_want,8,Response
2,we provide industrial projects end to end projects,provide industrial project end end project,project_information,1,Response
1,do you have any on snowflake?,snowflake,project_want,8,Query
2,yes we do have snowflake projects,yes snowflake project,project_information,1,Response
2,we add 15 to 20 projects every month,add project every month,project_information,1,Response
1,can you point me to snowflake project,point snowflake project,project_information,1,Query
1,what is the fee structure,fee structure,cost_discussion,2,Query
1,3 months ?,month,cost_discussion,2,Query
2,we were having few promotions,promotion,cost_discussion,2,Response
2,i can help you with that,help,cost_discussion,2,Response
1,what isit,isit,agree,4,Query
1,sravanthi,sravanthi,client_info,6,Response
2,if you are enrolling today the discounted price is 786$,enrol today discount price,cost_discussion,2,Response
2,you can pay in installments also,pay installment also,cost_discussion,2,Response
1,how much installment,much installment,cost_discussion,2,Query
2,you can pay in 12 installments we have tie up with a third party they convert the amt into emi,pay installment tie third party convert amt emi,cost_discussion,2,Response
2,by any chance are you an indian,chance indian,cost_discussion,2,Query
2,you can pay in INR with 12 no cost emi on your indian credit card,pay inr cost emi indian credit card,cost_discussion,2,Response
1,is it indian company,indian company,project_information,1,Query
2,Its a global platform registered in India,global platform register india,project_information,1,Response
1,how do you help with mock interviews and resume,help mock interview resume,project_information,1,Query
2,we provide unlimitted one to one sessions with experts,provide unlimitte one one session expert,project_information,1,Response
1,how do you help with tech support,help tech support,project_information,1,Query
2,we provide 3 support,provide support,project_information,1,Response
2,we have a chat support,chat support,project_information,1,Response
2,24/7 tech support,tech support,project_information,1,Response
2,and one to one sessions with expert,one one session expert,project_information,1,Response
2,these sessions can be used to clarify your queries,session use clarify query,project_information,1,Response
1,all these included in the package,include package,project_information,1,Response
2,you dont have to pay anything extra,pay anything extra,project_information,1,Response
1,"Hey, May I know what will be the cost of 1 month?",hey may know cost month,cost_discussion,2,Query
2,we do not have monthly plans ...,monthly plan,cost_discussion,2,Response
1,Ohh I am a student so I was looking for something which I can afford,ohh student look something afford,cost_discussion,2,Response
2,but we have a collaboration with Affirm ... where you can pay monthly ..,collaboration affirm pay monthly,cost_discussion,2,Response
1,yeah sure,yeah sure,agree,4,Response
2,ok Thanks,ok thank,agree,4,Response
2,for students we have discounted pricing,student discount pricing,discount,5,Response
1,That sounds good,sound good,agree,4,Response
1,may I know how much discount I can get?,may know much discount get,discount,5,Query
2,diuscount of $ 520,diuscount,discount,5,Response
1,"and can we pay it monthly? suppose for example, I have gained good knowledge and don't want to continue after 3 months then?",pay monthly suppose example gain good knowledge want continue month,cost_discussion,2,Query
2,We provide an unlimited no questions asked refund - you may sign up and if you don't think we are adding value to you - you can ask for a full refund anytime,provide unlimited question ask refund may sign think add value ask full refund anytime,refund_info,9,Response
2,You can cancel and we will refund anytime in the first 3 months ...,cancel refund anytime first month,refund_info,9,Response
2,for monthly payments we have a collaboration with affirm,monthly payment collaboration affirm,cost_discussion,2,Response
2,you can pay thru monthly part payments .. but it depends on your credit history ...,pay thru monthly part payment depend credit history,cost_discussion,2,Response
2,"if you enroll now, i can get you an approval for $ 684 ..",enroll get approval,cost_discussion,2,Response
1,"thats not what I mean, suppose projectpro is good and I have learned a lot from; however, after 3-4 months i don't want to continue (without the refund plan) is that possible?",mean suppose projectpro good learn lot however month want continue without refund plan possible,refund_info,9,Query
2,refund policy is applicable in the first 3 months,refund policy applicable first month,refund_info,9,Response
2,it is not applicable after 3 months,applicable month,refund_info,9,Response
2,cancellations applicable in fisrt 3 months,cancellation applicable fisrt month,refund_info,9,Response
1,"yeah thats ok, but I was asking what If i only want to pay for a X months? not for a full year",yeah ok ask want pay month full year,cost_discussion,2,Query
1,is that possible?,possible,cost_discussion,2,Query
2,we do not have monthly plans... its annual plan ...you can pay as one time payment ... or  m monthly using affirm,monthly plan annual plan pay one time payment monthly use affirm,cost_discussion,2,Response
2,you can cancele in the 1st 3 months not after that,cancele st month,refund_info,9,Response
1,got it,get,agree,4,Response
1,thanks for your help,thank help,agree,4,Response
2,but the discount is offer is only valid for now,discount offer valid,discount,5,Response
2,$ 684 for annula plan ... woukld y9ou like to check the monthly payment plan with affirm,annula plan woukld like check monthly payment plan affirm,cost_discussion,2,Query
1,"Can you send me an email, I will think about this and will let you know",send email think let know,will_get_back,15,Query
1,if its possible,possible,will_get_back,15,Query
2,sure .. also,sure also,agree,4,Response
2,can you help me with your edu email address ?,help edu email address,provide_contact,12,Query
2,to confirm the student offer,confirm student offer,discount,5,Query
1,yeah,yeah,agree,4,Response
2,ok thanks,ok thank,agree,4,Response
2,I will ask my team to send you an email with the offer details and the link ... it will be valid till end of the day today ...,ask team send email offer detail link valid till end day today,enrollment,7,Response
2,request to complete the enrollment to avail the offer,request complete enrollment avail offer,enrollment,7,Response
1,Sure,sure,agree,4,Response
1,will think about it,think,will_get_back,15,Response
1,i want to know more details,want know detail,project_information,1,Query
1,how this works,work,project_information,1,Query
1,What would be the subscription amount,would subscription amount,cost_discussion,2,Query
1,I am working in product based company,work product base company,client_info,6,Response
1,and learning Big data now from upgrad,learn big datum upgrad,client_info,6,Response
2,We bridge the gap between courses and real projects.,bridge gap course real project,project_information,1,Response
1,Great,great,agree,4,Response
1,what would be the subscription charge,would subscription charge,cost_discussion,2,Query
2,with 12 no cost emi option,cost emi option,cost_discussion,2,Response
1,Yes I need one demo,yes need one demo,trial_demo_discussion,3,Response
1,on big data project,big data project,trial_demo_discussion,3,Response
2,what is your convenient time for  a demo,convenient time demo,trial_demo_discussion,3,Query
1,What is the duration?,duration,trial_demo_discussion,3,Query
2,30 minutes,minute,trial_demo_discussion,3,Response
1,Anytime is fine before 5 pm,anytime fine pm,trial_demo_discussion,3,Response
2,tomorrow 4 pm,tomorrow pm,trial_demo_discussion,3,Response
1,Okay,okay,agree,4,Response
2,would you like to enroll,would like enroll,enrollment,7,Query
1,is it the lowest as it's too expensive for a student like me,low expensive student like,cost_discussion,2,Query
2,provide me your college email id,provide college email,provide_contact,12,Query
2,799 is the lowest,low,cost_discussion,2,Response
2,let me know if you would like to enroll,let know would like enroll,enrollment,7,Response
1,90 days no question refund is available,day question refund available,refund_info,9,Response
2,available,available,refund_info,9,Response
1,please share the link to me,please share link,enrollment,7,Query
2,the link will be valid for 15 minutes,link valid minute,enrollment,7,Response
1,"yes, just finish the payment",yes finish payment,enrollment,7,Response
1,but how can i login ?,login,project_information,1,Query
2,login id :: your email,login email,project_information,1,Response
2,password:: click on forgot password and change the password,password click forgot password change password,project_information,1,Response
1,that's funny,funny,project_information,1,Response
1,is it your design ?,design,project_information,1,Query
2,some smart guys,smart guy,project_information,1,Response
2,yup,yup,agree,4,Response
2,so when you pay you account get automatically  activated,pay account get automatically activate,enrollment,7,Response
2,for clients comfort we keep their email id as your login and just chanhe the password,client comfort keep email login chanhe password,enrollment,7,Response
2,simple process,simple process,enrollment,7,Response
1,smart,smart,agree,4,Response
1,can i ask any webscripting project ?,ask webscripte project,project_want,8,Query
1,as i cannot find,find,project_want,8,Response
2,you can drop an email to care@projectpro.io,drop email careprojectproio,project_information,1,Response
1,thanks just send,thank send,agree,4,Response
1,I want to join ProjectPro,want join projectpro,project_information,1,Query
1,can you share various subscription open ?,share various subscription open,cost_discussion,2,Query
2,email please,email please,provide_contact,12,Query
2,we have 2 subscriptions 6 months and 12 months,subscription month month,cost_discussion,2,Response
1,Can you share details for both ?,share detail,cost_discussion,2,Query
2,6 months is for 66000/- .no tech support and you cant access the new projects  thatw e add month on month,month tech support access new project thatw add month month,cost_discussion,2,Response
2,12 months full access with expert mentoring for 72000/- with 12 no cost emi,month full access expert mentor cost emi,cost_discussion,2,Response
2,12 months post discounts it will be 64000/-,month post discount,discount,5,Response
1,can you share the link ?,share link,cost_discussion,2,Query
2,would you like to go for a single shot payment or emi,would like go single shot payment emi,cost_discussion,2,Query
1,not sure as of now,sure,will_get_back,15,Response
1,please share link on chat,please share link chat,project_information,1,Response
2,need phone number to share the emi link,need phone number share emi link,provide_contact,12,Response
2,the first is a single shot paymnet,first single shot paymnet,enrollment,7,Response
2,second is an emi link,second emi link,enrollment,7,Response
1,can you share link of thses plans ?,share link thse plan,enrollment,7,Query
1,I want to look into the details,want look detail,project_information,1,Query
2,on email,email,project_information,1,Query
2,yes our team will drop an email,yes team drop email,project_information,1,Response
1,i wanted to do Bigdata projects,want bigdata project,project_want,8,Response
1,can you pls help me,pls help,project_want,8,Query
1,i am experienced oracle DBA,experience oracle dba,client_info,6,Response
2,we have 100+ big data projects,big data project,project_information,1,Response
2,and we add around 10 projects every month,add around project every month,project_information,1,Response
2,total we have 230+ projects which is a combination of datascience and bigdata,total project combination datascience bigdata,project_information,1,Response
1,no problem .. what will be the fee,problem fee,cost_discussion,2,Query
1,and duration,duration,project_information,1,Query
1,do you have monthly payment option,monthly payment option,cost_discussion,2,Query
1,can i pay for a month and start my learning,pay month start learning,cost_discussion,2,Query
1,also do you have any discounts,also discount,discount,5,Query
2,yes w edo have discounts,yes edo discount,discount,5,Response
1,Name:-,name,client_info,6,Response
1,Email:-,email,client_info,6,Response
2,discounted price is 64000/- with 12 no cost emi,discount price cost emi,discount,5,Response
2,we will be converting the total amt into emi which gets auto debited month on month,convert total amt emi get auto debit month month,cost_discussion,2,Response
2,would you like to have a call before you enroll,would like call enroll,trial_demo_discussion,3,Query
1,No problem,problem,cost_discussion,2,Response
1,let me decide and come to you,let decide come,will_get_back,15,Response
2,our team will drop an email,team drop email,send_email,10,Response
1,yeah sure thanks a lot,yeah sure thank lot,agree,4,Response
1,can i buy account just for one month?,buy account one month,cost_discussion,2,Query
2,we dont have 1 month subscription,month subscription,cost_discussion,2,Response
1,it's very expensive for me,expensive,cost_discussion,2,Response
2,what is the pricing that you are looking for,pricing look,cost_discussion,2,Query
2,you can pay monthly,pay monthly,cost_discussion,2,Response
1,i am a student,student,client_info,6,Response
1,yes i can pay monthly,yes pay monthly,cost_discussion,2,Response
2,you can pay in installments,pay installment,cost_discussion,2,Response
1,is it possible?,possible,cost_discussion,2,Query
1,very good. how much per month?,good much per month,discount,5,Query
2,post discount it will be 880/12,post discount,discount,5,Response
2,73$ pr month and a minimal interest will be added,pr month minimal interest add,cost_discussion,2,Response
2,we have tie up with affirm,tie affirm,cost_discussion,2,Response
1,last offer ? :(,last offer,cost_discussion,2,Query
1,"if i pay 73$ now , can i access data science projects ?",pay access data science project,cost_discussion,2,Query
2,see i got an approval of 780$,see get approval,cost_discussion,2,Response
2,they will check your credit score,check credit score,cost_discussion,2,Response
1,it's greet,greet,cost_discussion,2,Response
1,so how to pay?,pay,enrollment,7,Query
2,you can use the above link to make the payment,use link make payment,enrollment,7,Response
1,how long is this link valid?,long link valid,enrollment,7,Query
2,for next 3 hours,next hour,enrollment,7,Response
1,"this link is 789$ , how to pay first 73 $ ?",link pay first,enrollment,7,Query
2,once you make the payment i will  cash back 10$  to your card,make payment cash back card,enrollment,7,Response
2,our team will drop an email on the same,team drop email,send_email,10,Response
2,780$ was on offer which is no logger available,offer logger available,cost_discussion,2,Response
2,since you had a financial crunch got that approval,since financial crunch get approval,cost_discussion,2,Response
2,one quick question,one quick question,project_information,1,Query
2,where are you based out,base,project_information,1,Query
2,this emi link will work for US citizen,emi link work citizen,enrollment,7,Response
2,and your current location is showing as US,current location show,enrollment,7,Response
1,i use vpn,use vpn,client_info,6,Response
1,i'am in iran,iam iran,client_info,6,Response
2,hey this link will not help you,hey link help,enrollment,7,Response
1,let me turn off my vpn,let turn vpn,other,11,Response
1,what is projectpro experts section?,projectpro expert section,project_information,1,Query
1,how much is it?,much,cost_discussion,2,Query
2,12 months access is for 1080$ . we have some discounts going on,month access discount go,discount,5,Response
1,i prefer start with end to end data science projects,prefer start end end datum science project,project_want,8,Response
2,yes we do have,yes,agree,4,Response
1,"tell me about annoul price , please",tell annoul price please,cost_discussion,2,Query
2,Every machine learning project of ours implements the full life cycle: Sourcing the data -> Exploratory data analysis (EDA) -> Data cleaning -> Data manipulation -> Modelling -> Hyper parameter tuning -> Testing -> Visualisation -> Deployment.,every machine learn project implement full life cycle source datum exploratory datum analysis eda data clean datum manipulation model hyp parameter tune testing visualisation deployment,project_information,1,Response
1,"yes, sure",yes sure,agree,4,Response
2,we have a 60$ cash back and additionally if you enroll now i can help you with an offer which ended where we were giving another 100$ cash back,cash back additionally enroll help offer end give another cash back,discount,5,Response
2,so total 160$ cash back,total cash back,discount,5,Response
2,on the current price,current price,discount,5,Response
1,I was a little confused. How much is a one-year account for data science projects?,little confused much one year account datum science project,cost_discussion,2,Query
1,"above , you say 1080$ . it's very expensive for me,",say expensive,cost_discussion,2,Response
2,what is teh price that you are looking for,teh price look,cost_discussion,2,Query
1,"my monthly salary is 70$ , i am a student , how you can help me ?",monthly salary student help,cost_discussion,2,Query
2,can yopu provide me your collegeb email id,yopu provide collegeb email,provide_contact,12,Query
2,we have astudent discounted price,astudent discount price,discount,5,Response
1,my email id is not valid. because i am from iran,email valid iran,client_info,6,Response
2,student discounted price is 684$,student discount price,discount,5,Response
2,we have an offer on student discounted price also,offer student discount price also,discount,5,Response
1,I want the prOject on data science and AI,want project datum science ai,project_want,8,Query
1,with real world industry exp,real world industry exp,project_want,8,Query
2,You may find a list of our end-to-end machine learning projects here - https://www.projectpro.io/projects/data-science-projects,may find list end end machine learning project,project_information,1,Response
1,so want my resume to be built in such a way to attract top employer,want resume build way attract top employer,project_want,8,Query
1,please elaborate how would you help,please elaborate would help,project_information,1,Query
1,I have also some doubt in concept,also doubt concept,project_information,1,Query
2,let me arrange a call for you,let arrange call,trial_demo_discussion,3,Response
1,like ML and DL,like ml dl,project_information,1,Query
2,that will be better,well,agree,4,Response
1,It would be also great,would also great,agree,4,Response
1,no issue please chat now,issue please chat,project_information,1,Response
2,what information you need,information need,project_information,1,Query
1,How will I clear my doubt,clear doubt,project_information,1,Query
1,how may days of  projects,may day project,project_information,1,Query
1,how many projects,many project,project_information,1,Query
2,we have 230+ projects,project,project_information,1,Response
1,Is it free or paid?,free pay,project_information,1,Query
1,Can I add this projects on my Github repo?,add project github repo,project_information,1,Query
2,yes you can,yes,agree,4,Response
1,"So, there are no rights or anything as such from your organization, if I work on these projects and then add it on my repo",right anything organization work project add repo,project_information,1,Query
1,after taking the subscription,take subscription,cost_discussion,2,Query
2,no there is nothing like copy right,nothing like copy right,project_information,1,Query
2,let me help you,let help,project_information,1,Response
1,"Okay, can we schedule it on Friday?",okay schedule friday,trial_demo_discussion,3,Query
2,can we do it today if possible,today possible,trial_demo_discussion,3,Query
2,we have amazing offers goingni.. oinly for today,amazing offer goingni oinly today,discount,5,Response
2,what time ?,time,trial_demo_discussion,3,Query
2,on friday or tomm ?,friday tomm,trial_demo_discussion,3,Query
1,11:00 AM EST on Friday,friday,trial_demo_discussion,3,Response
2,fine,fine,agree,4,Response
2,i will ask my team to send you an invite,ask team send invite,trial_demo_discussion,3,Response
1,thankyou,thankyou,agree,4,Response
2,My team nhas sent the invite .. pls accept the same,team nha send invite pls accept,trial_demo_discussion,3,Response
1,I don't have any invite yet in my inbox,invite yet inbox,trial_demo_discussion,3,Response
1,okay got it,okay get,trial_demo_discussion,3,Response
1,what's the price for it?,price,cost_discussion,2,Query
2,we have discount offers if you enroll now,discount offer enroll,discount,5,Response
1,oh Ok. I think the price is too high to me.,oh ok think price high,cost_discussion,2,Response
1,Thanks.,thank,agree,4,Response
2,are you a student ?,student,client_info,6,Query
2,or working professional,work professional,client_info,6,Query
 ,student,student,client_info,6,Response
2,we have discounts for studnet,discount studnet,discount,5,Response
1,The total price would be over 1000. I think it's way above what I could considering for,total price would think way could consider,cost_discussion,2,Response
2,for students It will be $ 619,student,cost_discussion,2,Response
2,which applicabke for today and tomm,applicabke today tomm,cost_discussion,2,Query
1,Do you have any one month subscription?,one month subscription,cost_discussion,2,Query
2,no.. we do not have monthly plans,monthly plan,cost_discussion,2,Response
2,but we have emi options with affirm,emi option affirm,cost_discussion,2,Response
2,it depends on your credit history,depend credit history,cost_discussion,2,Response
1,I still feel the price is too high to me. But thanks for providing me the info.,still feel price high thank provide info,agree,4,Response
2,how much can you afford?,much afford,cost_discussion,2,Query
1,"I'm looking for something that can help me improve my project section on resume. I feel like if the price is over $100, it's gonna be hard..",look something help improve project section resume feel like price go hard,project_want,8,Response
2,we can help you with building project portfolio,help building project portfolio,project_information,1,Response
2,but we do not have such low pricing,low pricing,cost_discussion,2,Response
2,The best i can try to get an approval for $ 519 ... only if you enroll now ...,good try get approval enroll,cost_discussion,2,Response
1,"I understand. But since I only need at most 2 projects to shown on resume. So for this price, I think I'll just seeking for other ecources",understand since need project show resume price think ill seek ecource,cost_discussion,2,Response
1,how can i make payment in indian rupees,make payment indian rupee,cost_discussion,2,Query
2,will help you,help,cost_discussion,2,Response
1,rashmi,rashmi borgohain,client_info,6,Response
2,you want to pay single shot or EMI,want pay single shot emi,cost_discussion,2,Query
1,single shot,single shot,cost_discussion,2,Response
2,i will give you the link,give link,enrollment,7,Response
1,do you have free trial period,free trial period,trial_demo_discussion,3,Query
2,12 Months access is for 64800/- post discount its 59800/-,month access post discount,discount,5,Response
2,no we dont have va fress trial but can arrange a demo,va fress trial arrange demo,trial_demo_discussion,3,Response
2,where are you based,base,client_info,6,Query
1,dubai,dubai,client_info,6,Response
2,do you want a call from our end,want call end,trial_demo_discussion,3,Query
1,no its ok...i got all the info from website,oki get info website,project_information,1,Response
2,so shall i give you the paymnet link,shall give paymnet link,enrollment,7,Query
1,yes ... but i wont b paying now...some days later,yes pay nowsome day later,will_get_back,15,Response
2,the price increases on our site every month,price increase site every month,cost_discussion,2,Response
2,by 29th  the new price willbe 72600/-,th new price willbe,cost_discussion,2,Response
2,if you have an indian credit card you can convert this into emi,indian credit card convert emi,cost_discussion,2,Response
1,well...how much emi..is it zero interest,wellhow much emiis zero interest,cost_discussion,2,Query
2,the monthly EMI will be 4983/-,monthly emi,cost_discussion,2,Response
2,its zero cost emi,zero cost emi,cost_discussion,2,Response
2,would you like to proceed,would like proceed,cost_discussion,2,Query
2,57600/- with 12 no cost EMI monthly EMI will be 4800/-,cost emi monthly emi,cost_discussion,2,Response
1,not now..will let u knw..thank u..,nowwill let knwthank,will_get_back,15,Response
2,sure the above price is valid till  28/04/2022,sure price valid till,cost_discussion,2,Response
2,post that it wont be aplicable,post aplicable,cost_discussion,2,Response
1,ok.,ok,agree,4,Response
1,I am looking forward to join it can you let me know how much it will cost me,look forward join let know much cost,cost_discussion,2,Query
1,"I am currently working as researcher and mostly works on python, R and sql",currently work researcher mostly work python sql,client_info,6,Response
1,"Oh, I see . I remember sometime back I had a discussion with Sayali that time she offered me 25900/- but due to someother engagement I was not able to join..There is a huge price difference now",oh see remember sometime back discussion sayali time offer due someother engagement able jointhere huge price difference,cost_discussion,2,Response
2,the price increases on our platform every month,price increase platform every month,cost_discussion,2,Response
1,but that is too much I spoke to her few months back,much speak month back,cost_discussion,2,Response
2,see we are closing the month,see close month,cost_discussion,2,Response
1,this is almost 225% hike,almost hike,cost_discussion,2,Response
1,I think it won't work,think work,cost_discussion,2,Response
2,the number of projects  also increased,number project also increase,project_information,1,Response
2,now we have 240+ projects,project,project_information,1,Response
2,we do have some discounts going on,discount go,discount,5,Response
2,can help you with that,help,discount,5,Response
2,if you are enrolling now i can help you with a student discounted  price  48000/- with 12 no cost emi,enrol help student discount price cost emi,discount,5,Response
2,90 days refund policy is not applicable,day refund policy applicable,refund_info,9,Response
2,as it is a student disounted price,student disounte price,discount,5,Response
2,this price is valid  only for today,price valid today,discount,5,Response
1,I had email from your marketing team (Binny) they are already giving 40k discount and what you are offering is even less,email marketing team binny already give ok discount offer even less,discount,5,Response
2,this price is valid only for today,price valid today,discount,5,Response
